Timestamp,Temperature (°C),Humidity (%),Wind Speed (km/h),Wind Direction (°)
2020-01-01 00:00:00,20.5,90.0,9.3,108.0
2020-01-01 01:00:00,20.3,91.0,9.3,111.0
2020-01-01 02:00:00,19.6,90.0,3.6,90.0
2020-01-01 03:00:00,19.9,91.0,7.4,109.0
2020-01-01 04:00:00,19.6,93.0,7.4,108.0
2020-01-01 05:00:00,19.8,89.0,5.4,90.0
2020-01-01 06:00:00,19.8,94.0,11.2,70.0
2020-01-01 07:00:00,19.8,94.0,13.0,100.0
2020-01-01 08:00:00,20.8,84.0,0.0,0.0
2020-01-01 09:00:00,22.8,89.0,11.2,110.0
2020-01-01 10:00:00,23.8,83.0,11.2,100.0
2020-01-01 11:00:00,24.8,64.0,0.0,0.0
2020-01-01 12:00:00,24.8,79.0,7.6,100.0
2020-01-01 13:00:00,24.8,74.0,11.2,130.0
2020-01-01 14:00:00,24.6,58.0,3.6,90.0
2020-01-01 15:00:00,24.8,74.0,6.0,120.0
2020-01-01 16:00:00,24.8,74.0,9.4,140.0
2020-01-01 17:00:00,24.6,59.0,3.6,50.0
2020-01-01 18:00:00,22.8,89.0,9.4,120.0
2020-01-01 19:00:00,21.8,94.0,9.4,120.0
2020-01-01 20:00:00,21.6,80.0,5.4,50.0
2020-01-01 21:00:00,22.7,79.0,7.4,111.0
2020-01-01 22:00:00,20.8,100.0,9.4,140.0
2020-01-01 23:00:00,20.0,87.0,5.4,50.0
2020-01-02 00:00:00,20.4,96.0,9.3,104.0
2020-01-02 01:00:00,20.4,95.0,9.3,108.0
2020-01-02 02:00:00,19.8,89.0,3.6,115.0
2020-01-02 03:00:00,20.0,93.0,7.4,113.0
2020-01-02 04:00:00,19.8,95.0,7.4,110.0
2020-01-02 05:00:00,20.0,87.0,0.0,0.0
2020-01-02 06:00:00,19.8,100.0,5.4,140.0
2020-01-02 07:00:00,20.8,100.0,3.6,120.0
2020-01-02 08:00:00,20.4,87.0,3.6,90.0
2020-01-02 09:00:00,21.8,100.0,5.4,170.0
2020-01-02 10:00:00,22.8,89.0,3.6,160.0
2020-01-02 11:00:00,22.0,75.0,5.4,50.0
2020-01-02 12:00:00,24.8,74.0,5.4,200.0
2020-01-02 13:00:00,25.8,70.0,5.4,90.0
2020-01-02 14:00:00,26.0,60.0,0.0,0.0
2020-01-02 15:00:00,27.8,58.0,5.4,120.0
2020-01-02 16:00:00,27.8,58.0,3.6,128.0
2020-01-02 17:00:00,25.4,64.0,0.0,0.0
2020-01-02 18:00:00,24.8,69.0,3.6,123.0
2020-01-02 19:00:00,23.8,74.0,5.4,140.0
2020-01-02 20:00:00,22.0,72.0,3.6,50.0
2020-01-02 21:00:00,21.8,88.0,7.6,130.0
2020-01-02 22:00:00,21.8,94.0,5.4,140.0
2020-01-02 23:00:00,21.0,88.0,0.0,0.0
2020-01-03 00:00:00,21.1,88.0,7.4,119.0
2020-01-03 01:00:00,21.0,89.0,7.4,120.0
2020-01-03 02:00:00,20.8,91.0,3.6,50.0
2020-01-03 03:00:00,20.1,96.0,3.7,121.0
2020-01-03 04:00:00,19.9,96.0,5.5,120.0
2020-01-03 05:00:00,20.0,95.0,3.6,50.0
2020-01-03 06:00:00,20.8,100.0,5.4,150.0
2020-01-03 07:00:00,20.8,94.0,5.4,140.0
2020-01-03 08:00:00,21.4,83.0,3.6,50.0
2020-01-03 09:00:00,23.8,83.0,7.6,160.0
2020-01-03 10:00:00,25.8,70.0,9.4,180.0
2020-01-03 11:00:00,27.4,55.0,0.0,0.0
2020-01-03 12:00:00,27.8,58.0,5.4,110.0
2020-01-03 13:00:00,28.8,55.0,5.4,110.0
2020-01-03 14:00:00,27.6,47.0,3.6,180.0
2020-01-03 15:00:00,30.8,46.0,0.0,0.0
2020-01-03 16:00:00,28.8,52.0,7.6,120.0
2020-01-03 17:00:00,26.8,50.0,3.6,180.0
2020-01-03 18:00:00,26.8,62.0,11.2,170.0
2020-01-03 19:00:00,25.8,70.0,7.6,150.0
2020-01-03 20:00:00,23.8,63.0,3.6,90.0
2020-01-03 21:00:00,23.8,78.0,5.4,180.0
2020-01-03 22:00:00,22.8,89.0,0.0,0.0
2020-01-03 23:00:00,21.0,79.0,5.4,90.0
2020-01-04 00:00:00,21.8,84.0,3.7,136.0
2020-01-04 01:00:00,21.6,85.0,3.7,135.0
2020-01-04 02:00:00,19.6,89.0,5.4,50.0
2020-01-04 03:00:00,21.1,89.0,3.7,115.0
2020-01-04 04:00:00,20.8,91.0,3.7,114.0
2020-01-04 05:00:00,19.0,90.0,3.6,50.0
2020-01-04 06:00:00,20.8,94.0,0.0,0.0
2020-01-04 07:00:00,20.8,100.0,0.0,0.0
2020-01-04 08:00:00,21.2,93.0,3.6,155.0
2020-01-04 09:00:00,23.8,89.0,9.4,260.0
2020-01-04 10:00:00,24.8,84.0,9.4,250.0
2020-01-04 11:00:00,25.8,63.0,0.0,0.0
2020-01-04 12:00:00,28.8,55.0,7.6,230.0
2020-01-04 13:00:00,28.8,48.0,3.6,218.0
2020-01-04 14:00:00,28.6,35.0,3.6,50.0
2020-01-04 15:00:00,29.8,43.0,5.4,180.0
2020-01-04 16:00:00,28.8,43.0,1.8,231.0
2020-01-04 17:00:00,27.6,39.0,0.0,0.0
2020-01-04 18:00:00,25.8,54.0,0.0,0.0
2020-01-04 19:00:00,24.8,57.0,0.0,0.0
2020-01-04 20:00:00,23.2,59.0,0.0,0.0
2020-01-04 21:00:00,22.8,74.0,0.0,0.0
2020-01-04 22:00:00,22.8,78.0,3.6,121.0
2020-01-04 23:00:00,22.0,75.0,0.0,0.0
2020-01-05 00:00:00,21.7,78.0,1.8,131.0
2020-01-05 01:00:00,21.4,80.0,3.7,128.0
2020-01-05 02:00:00,21.2,79.0,0.0,0.0
2020-01-05 03:00:00,20.9,88.0,3.7,107.0
2020-01-05 04:00:00,20.5,91.0,3.7,104.0
2020-01-05 05:00:00,20.4,86.0,0.0,0.0
2020-01-05 06:00:00,20.2,97.0,3.7,131.0
2020-01-05 07:00:00,20.8,95.0,3.7,136.0
2020-01-05 08:00:00,21.2,88.0,0.0,0.0
2020-01-05 09:00:00,23.8,89.0,1.8,156.0
2020-01-05 10:00:00,25.8,74.0,5.4,210.0
2020-01-05 11:00:00,26.4,56.0,0.0,0.0
2020-01-05 12:00:00,28.8,55.0,1.8,159.0
2020-01-05 13:00:00,28.8,48.0,3.6,164.0
2020-01-05 14:00:00,28.8,37.0,3.6,50.0
2020-01-05 15:00:00,29.8,40.0,7.6,110.0
2020-01-05 16:00:00,28.8,48.0,9.4,110.0
2020-01-05 17:00:00,27.8,36.0,0.0,0.0
2020-01-05 18:00:00,26.8,54.0,3.6,124.0
2020-01-05 19:00:00,24.8,69.0,9.4,150.0
2020-01-05 20:00:00,23.8,60.0,0.0,0.0
2020-01-05 21:00:00,23.8,94.0,18.4,90.0
2020-01-05 22:00:00,22.8,94.0,18.4,100.0
2020-01-05 23:00:00,22.8,82.0,3.6,110.0
2020-01-06 00:00:00,21.7,96.0,7.4,95.0
2020-01-06 01:00:00,21.5,96.0,7.4,100.0
2020-01-06 02:00:00,22.0,85.0,3.6,102.0
2020-01-06 03:00:00,21.1,92.0,5.5,104.0
2020-01-06 04:00:00,20.8,95.0,5.5,106.0
2020-01-06 05:00:00,21.2,86.0,5.4,50.0
2020-01-06 06:00:00,20.8,88.0,9.4,110.0
2020-01-06 07:00:00,20.8,94.0,9.4,140.0
2020-01-06 08:00:00,21.2,84.0,0.0,0.0
2020-01-06 09:00:00,22.8,83.0,9.4,120.0
2020-01-06 10:00:00,23.8,83.0,11.2,120.0
2020-01-06 11:00:00,22.6,72.0,3.6,50.0
2020-01-06 12:00:00,23.8,78.0,9.4,140.0
2020-01-06 13:00:00,24.8,74.0,14.8,130.0
2020-01-06 14:00:00,23.4,70.0,5.4,50.0
2020-01-06 15:00:00,25.8,65.0,9.4,150.0
2020-01-06 16:00:00,25.8,70.0,7.6,160.0
2020-01-06 17:00:00,24.8,62.0,3.6,50.0
2020-01-06 18:00:00,23.8,83.0,13.0,110.0
2020-01-06 19:00:00,23.8,83.0,13.0,120.0
2020-01-06 20:00:00,23.0,72.0,5.4,50.0
2020-01-06 21:00:00,21.8,94.0,9.4,130.0
2020-01-06 22:00:00,20.8,100.0,11.2,120.0
2020-01-06 23:00:00,20.4,91.0,3.6,130.0
2020-01-07 00:00:00,20.9,95.0,9.3,106.0
2020-01-07 01:00:00,20.8,94.0,9.3,105.0
2020-01-07 02:00:00,20.4,89.0,3.6,50.0
2020-01-07 03:00:00,20.2,91.0,7.4,105.0
2020-01-07 04:00:00,20.0,92.0,7.4,108.0
2020-01-07 05:00:00,20.0,87.0,3.6,130.0
2020-01-07 06:00:00,19.8,100.0,0.0,0.0
2020-01-07 07:00:00,19.8,94.0,9.4,50.0
2020-01-07 08:00:00,20.4,82.0,3.6,90.0
2020-01-07 09:00:00,21.8,88.0,13.0,90.0
2020-01-07 10:00:00,23.8,74.0,16.6,70.0
2020-01-07 11:00:00,24.2,56.0,5.4,50.0
2020-01-07 12:00:00,24.8,65.0,11.2,90.0
2020-01-07 13:00:00,25.8,61.0,14.8,90.0
2020-01-07 14:00:00,26.2,53.0,7.6,90.0
2020-01-07 15:00:00,27.8,51.0,11.2,140.0
