iter	Passed	Remaining
0	43	43162
1	84	42393
2	126	41898
3	183	45660
4	223	44556
5	264	43774
6	305	43393
7	346	42904
8	385	42446
9	428	42406
10	465	41895
11	505	41582
12	543	41266
13	587	41392
14	625	41100
15	665	40940
16	705	40789
17	744	40636
18	792	40933
19	840	41168
20	892	41606
21	928	41266
22	965	41007
23	1006	40919
24	1041	40630
25	1081	40520
26	1118	40307
27	1157	40187
28	1193	39966
29	1231	39827
30	1267	39614
31	1303	39427
32	1339	39258
33	1377	39149
34	1413	38984
35	1470	39378
36	1514	39418
37	1573	39824
38	1634	40264
39	1673	40155
40	1713	40076
41	1753	39992
42	1791	39877
43	1832	39818
44	1867	39637
45	1907	39562
46	1943	39413
47	1978	39235
48	2016	39145
49	2058	39116
50	2095	39001
51	2130	38834
52	2166	38713
53	2205	38635
54	2244	38559
55	2280	38438
56	2317	38332
57	2355	38260
58	2391	38145
59	2429	38066
60	2464	37939
61	2501	37851
62	2542	37819
63	2616	38268
64	2884	41499
65	2990	42317
66	3065	42691
67	3147	43136
68	3264	44047
69	3436	45658
70	3499	45795
71	3560	45886
72	3673	46647
73	3731	46689
74	3768	46484
75	3801	46219
76	3849	46145
77	3887	45948
78	3923	45738
79	3958	45527
80	3995	45326
81	4026	45075
82	4061	44866
83	4093	44638
84	4126	44423
85	4157	44187
86	4188	43953
87	4222	43760
88	4262	43634
89	4295	43430
90	4329	43243
91	4360	43036
92	4392	42840
93	4426	42666
94	4459	42479
95	4493	42317
96	4527	42145
97	4567	42042
98	4601	41882
99	4634	41710
100	4669	41563
101	4704	41416
102	4738	41263
103	4776	41149
104	4814	41038
105	4849	40900
106	4886	40778
107	4917	40616
108	4954	40502
109	4985	40334
110	5017	40187
111	5053	40065
112	5082	39892
113	5111	39728
114	5146	39602
115	5180	39480
116	5213	39343
117	5244	39197
118	5277	39069
119	5311	38949
120	5346	38840
121	5380	38725
122	5417	38629
123	5451	38512
124	5483	38387
125	5517	38275
126	5555	38187
127	5591	38089
128	5622	37964
129	5655	37850
130	5687	37728
131	5719	37612
132	5754	37515
133	5792	37433
134	5824	37316
135	5859	37226
136	5894	37132
137	5927	37027
138	5958	36909
139	5990	36798
140	6025	36708
141	6059	36613
142	6092	36514
143	6123	36402
144	6159	36321
145	6191	36213
146	6222	36108
147	6251	35989
148	6291	35932
149	6322	35826
150	6356	35740
151	6389	35645
152	6421	35550
153	6454	35457
154	6486	35364
155	6625	35846
156	6674	35835
157	6703	35721
158	6735	35623
159	6769	35540
160	6799	35434
161	6832	35341
162	6863	35242
163	6892	35133
164	6925	35045
165	6961	34976
166	6993	34884
167	7026	34796
168	7063	34730
169	7091	34624
170	7123	34536
171	7158	34461
172	7189	34366
173	7220	34275
174	7254	34197
175	7290	34133
176	7322	34047
177	7353	33960
178	7385	33875
179	7417	33792
180	7454	33728
181	7483	33635
182	7520	33574
183	7553	33497
184	7586	33423
185	7615	33328
186	7652	33268
187	7685	33193
188	7717	33117
189	7751	33044
190	7788	32988
191	7819	32905
192	7850	32825
193	7886	32765
194	7922	32704
195	7953	32624
196	7988	32560
197	8019	32483
198	8053	32416
199	8081	32327
200	8116	32262
201	8147	32187
202	8178	32110
203	8213	32048
204	8241	31962
205	8271	31883
206	8303	31810
207	8339	31753
208	8377	31706
209	8409	31634
210	8441	31566
211	8476	31507
212	8513	31457
213	8548	31396
214	8578	31321
215	8606	31239
216	8642	31185
217	8680	31139
218	8711	31067
219	8744	31002
220	8781	30954
221	8817	30900
222	8851	30840
223	8885	30782
224	8917	30717
225	8951	30658
226	8983	30592
227	9020	30543
228	9050	30469
229	9081	30402
230	9119	30360
231	9148	30284
232	9178	30214
233	9216	30170
234	9247	30102
235	9277	30033
236	9308	29967
237	9344	29917
238	9379	29865
239	9411	29801
240	9445	29747
241	9474	29676
242	9509	29623
243	9545	29574
244	9580	29524
245	9610	29457
246	9643	29398
247	9676	29340
248	9707	29278
249	9740	29221
250	9773	29165
251	9803	29099
252	9840	29055
253	9871	28992
254	9903	28934
255	9943	28897
256	9975	28839
257	10005	28774
258	10037	28718
259	10073	28671
260	10104	28611
261	10137	28555
262	10169	28498
263	10198	28432
264	10232	28380
265	10265	28326
266	10299	28274
267	10329	28212
268	10360	28154
269	10388	28087
270	10419	28029
271	10454	27980
272	10487	27927
273	10519	27872
274	10555	27828
275	10585	27768
276	10617	27711
277	10645	27647
278	10676	27590
279	10703	27523
280	10737	27474
281	10770	27424
282	10801	27366
283	10835	27317
284	10867	27265
285	10898	27208
286	10928	27150
287	10964	27106
288	10996	27054
289	11031	27007
290	11060	26947
291	11097	26906
292	11126	26846
293	11157	26793
294	11190	26743
295	11226	26699
296	11256	26643
297	11289	26595
298	11331	26566
299	11370	26530
300	11404	26483
301	11431	26422
302	11462	26367
303	11494	26317
304	11525	26263
305	11555	26208
306	11585	26151
307	11614	26094
308	11645	26043
309	11679	25995
310	11709	25941
311	11744	25897
312	11775	25846
313	11805	25791
314	11838	25744
315	11871	25697
316	11900	25639
317	11931	25589
318	11964	25541
319	11997	25494
320	12028	25444
321	12060	25395
322	12094	25350
323	12131	25310
324	12161	25257
325	12196	25216
326	12227	25166
327	12258	25115
328	12291	25067
329	12323	25019
330	12349	24961
331	12383	24915
332	12413	24863
333	12441	24807
334	12475	24764
335	12506	24714
336	12537	24665
337	12572	24623
338	12599	24567
339	12629	24516
340	12664	24474
341	12700	24435
342	12730	24385
343	12761	24335
344	12793	24288
345	12826	24245
346	12859	24199
347	12889	24149
348	12921	24103
349	12951	24052
350	12988	24015
351	13021	23971
352	13051	23921
353	13082	23874
354	13117	23833
355	13148	23785
356	13181	23740
357	13207	23685
358	13246	23651
359	13279	23607
360	13309	23558
361	13339	23510
362	13373	23468
363	13401	23416
364	13431	23367
365	13462	23320
366	13500	23285
367	13536	23246
368	13569	23203
369	13602	23160
370	13631	23111
371	13667	23072
372	13701	23031
373	13733	22987
374	13770	22950
375	13801	22904
376	13833	22860
377	13862	22811
378	13893	22764
379	13925	22721
380	13959	22679
381	13990	22634
382	14026	22595
383	14059	22553
384	14092	22510
385	14122	22464
386	14154	22421
387	14185	22374
388	14213	22325
389	14247	22284
390	14279	22241
391	14309	22194
392	14342	22152
393	14379	22115
394	14406	22066
395	14436	22019
396	14472	21981
397	14502	21936
398	14537	21897
399	14567	21850
400	14596	21803
401	14626	21757
402	14657	21712
403	14691	21674
404	14726	21634
405	14760	21595
406	14792	21552
407	14826	21512
408	14859	21472
409	14893	21432
410	14925	21389
411	14960	21351
412	14993	21310
413	15023	21265
414	15053	21220
415	15086	21178
416	15116	21134
417	15144	21086
418	15176	21044
419	15205	20998
420	15236	20954
421	15270	20915
422	15302	20873
423	15335	20832
424	15368	20792
425	15402	20753
426	15434	20711
427	15464	20668
428	15498	20628
429	15533	20591
430	15567	20551
431	15598	20509
432	15632	20469
433	15666	20431
434	15698	20389
435	15731	20349
436	15762	20307
437	15796	20268
438	15832	20232
439	15864	20191
440	15891	20143
441	15922	20101
442	15953	20058
443	15991	20025
444	16025	19986
445	16058	19946
446	16094	19911
447	16126	19870
448	16158	19829
449	16189	19787
450	16221	19745
451	16250	19702
452	16280	19658
453	16313	19619
454	16345	19578
455	16377	19537
456	16407	19495
457	16440	19456
458	16473	19416
459	16507	19378
460	16540	19338
461	16574	19301
462	16606	19260
463	16633	19214
464	16666	19175
465	16700	19137
466	16733	19098
467	16761	19053
468	16792	19012
469	16825	18973
470	16860	18936
471	16893	18898
472	16928	18860
473	16961	18822
474	16995	18784
475	17027	18744
476	17057	18702
477	17086	18659
478	17121	18622
479	17154	18583
480	17184	18541
481	17214	18500
482	17246	18460
483	17278	18420
484	17315	18386
485	17348	18347
486	17381	18309
487	17412	18268
488	17444	18229
489	17480	18194
490	17515	18157
491	17547	18118
492	17583	18082
493	17615	18042
494	17649	18005
495	17681	17966
496	17710	17923
497	17741	17884
498	17770	17842
499	17804	17804
500	17839	17768
501	17872	17730
502	17907	17694
503	17945	17660
504	17978	17622
505	18010	17583
506	18046	17547
507	18076	17507
508	18103	17463
509	18135	17424
510	18165	17383
511	18198	17345
512	18232	17308
513	18261	17266
514	18295	17229
515	18326	17189
516	18357	17150
517	18390	17112
518	18422	17073
519	18463	17043
520	18493	17002
521	18525	16963
522	18561	16929
523	18589	16886
524	18624	16850
525	18759	16904
526	18809	16882
527	18840	16842
528	18871	16802
529	18902	16762
530	18937	16726
531	18969	16687
532	19004	16650
533	19038	16613
534	19069	16574
535	19100	16534
536	19135	16498
537	19171	16463
538	19206	16426
539	19237	16387
540	19272	16351
541	19307	16315
542	19338	16275
543	19368	16235
544	19402	16198
545	19436	16161
546	19472	16126
547	19500	16084
548	19532	16045
549	19566	16009
550	19596	15968
551	19629	15931
552	19659	15891
553	19690	15852
554	19722	15813
555	19756	15776
556	19790	15739
557	19820	15699
558	19851	15660
559	19885	15624
560	19916	15585
561	19948	15547
562	19979	15507
563	20011	15469
564	20044	15432
565	20076	15394
566	20111	15358
567	20141	15318
568	20176	15282
569	20207	15244
570	20240	15207
571	20276	15172
572	20314	15138
573	20354	15106
574	20382	15065
575	20416	15028
576	20463	15001
577	20529	14988
578	20575	14960
579	20609	14924
580	20642	14887
581	20675	14849
582	20710	14813
583	20744	14777
584	20777	14739
585	20807	14700
586	20840	14663
587	20870	14623
588	20899	14583
589	20931	14545
590	20964	14508
591	20995	14469
592	21025	14430
593	21062	14396
594	21099	14361
595	21129	14322
596	21165	14287
597	21198	14250
598	21231	14213
599	21263	14175
600	21296	14138
601	21328	14100
602	21360	14063
603	21394	14026
604	21428	13990
605	21470	13959
606	21503	13922
607	21532	13882
608	21565	13845
609	21597	13808
610	21629	13770
611	21658	13731
612	21690	13693
613	21722	13656
614	21755	13618
615	21787	13581
616	21822	13545
617	21856	13509
618	21890	13474
619	21926	13439
620	21954	13399
621	21989	13363
622	22019	13324
623	22052	13288
624	22080	13248
625	22111	13210
626	22143	13172
627	22179	13138
628	22211	13101
629	22242	13063
630	22275	13026
631	22308	12989
632	22343	12954
633	22374	12916
634	22406	12879
635	22440	12843
636	22482	12812
637	22516	12776
638	22551	12740
639	22584	12703
640	22621	12669
641	22654	12633
642	22687	12596
643	22720	12559
644	22754	12523
645	22792	12489
646	22824	12452
647	22860	12417
648	22895	12382
649	22932	12348
650	22963	12310
651	22995	12273
652	23027	12236
653	23061	12200
654	23092	12163
655	23124	12126
656	23156	12089
657	23188	12052
658	23222	12016
659	23249	11976
660	23285	11942
661	23314	11903
662	23351	11869
663	23383	11832
664	23415	11795
665	23448	11759
666	23479	11722
667	23516	11687
668	23549	11651
669	23586	11617
670	23618	11580
671	23649	11543
672	23681	11506
673	23712	11469
674	23740	11430
675	23773	11394
676	23804	11357
677	23839	11322
678	23869	11284
679	23903	11248
680	23937	11212
681	23968	11176
682	24000	11139
683	24030	11102
684	24062	11065
685	24095	11029
686	24128	10992
687	24158	10955
688	24194	10920
689	24229	10885
690	24263	10849
691	24295	10813
692	24326	10776
693	24362	10741
694	24394	10705
695	24430	10670
696	24461	10634
697	24494	10597
698	24522	10559
699	24555	10523
700	24588	10487
701	24620	10451
702	24647	10413
703	24679	10376
704	24712	10340
705	24744	10304
706	24774	10267
707	24808	10231
708	24843	10196
709	24872	10159
710	24903	10122
711	24937	10087
712	24971	10051
713	25003	10015
714	25032	9977
715	25060	9940
716	25091	9903
717	25127	9868
718	25156	9831
719	25187	9795
720	25221	9759
721	25258	9725
722	25297	9691
723	25332	9657
724	25370	9623
725	25407	9589
726	25446	9555
727	25479	9519
728	25509	9482
729	25546	9448
730	25578	9412
731	25610	9376
732	25642	9340
733	25675	9304
734	25703	9267
735	25738	9232
736	25770	9196
737	25797	9158
738	25834	9124
739	25863	9087
740	25893	9050
741	25929	9015
742	25965	8981
743	25995	8944
744	26029	8909
745	26058	8872
746	26092	8837
747	26128	8802
748	26158	8766
749	26190	8730
750	26222	8694
751	26254	8658
752	26290	8623
753	26321	8587
754	26356	8552
755	26386	8516
756	26424	8482
757	26459	8447
758	26491	8411
759	26523	8375
760	26552	8338
761	26588	8304
762	26620	8268
763	26652	8233
764	26682	8196
765	26715	8161
766	26747	8125
767	26778	8089
768	26809	8053
769	26844	8018
770	26872	7981
771	26907	7946
772	26936	7910
773	26977	7877
774	27011	7842
775	27044	7806
776	27072	7769
777	27103	7734
778	27132	7697
779	27164	7661
780	27197	7626
781	27232	7591
782	27268	7557
783	27303	7522
784	27342	7488
785	27376	7453
786	27414	7419
787	27446	7384
788	27478	7348
789	27508	7312
790	27541	7277
791	27576	7242
792	27607	7206
793	27637	7170
794	27668	7134
795	27702	7099
796	27735	7064
797	27763	7027
798	27794	6992
799	27829	6957
800	27864	6922
801	27896	6887
802	27930	6852
803	27963	6816
804	27995	6781
805	28027	6746
806	28059	6710
807	28091	6675
808	28126	6640
809	28160	6605
810	28196	6570
811	28230	6536
812	28265	6501
813	28301	6467
814	28335	6431
815	28365	6396
816	28401	6361
817	28439	6327
818	28472	6292
819	28503	6256
820	28535	6221
821	28568	6186
822	28602	6151
823	28637	6116
824	28668	6081
825	28702	6046
826	28732	6010
827	28765	5975
828	28798	5940
829	28832	5905
830	28864	5870
831	28898	5835
832	28935	5800
833	28969	5766
834	28998	5730
835	29032	5695
836	29064	5660
837	29101	5625
838	29132	5590
839	29168	5555
840	29206	5521
841	29248	5488
842	29281	5453
843	29315	5418
844	29349	5383
845	29384	5349
846	29418	5314
847	29448	5278
848	29483	5243
849	29517	5209
850	29550	5173
851	29581	5138
852	29613	5103
853	29648	5068
854	29680	5033
855	29713	4998
856	29743	4962
857	29776	4928
858	29806	4892
859	29838	4857
860	29869	4822
861	29905	4787
862	29935	4752
863	29966	4716
864	30000	4682
865	30030	4646
866	30061	4611
867	30092	4576
868	30127	4541
869	30163	4507
870	30196	4472
871	30228	4437
872	30261	4402
873	30296	4367
874	30328	4332
875	30367	4298
876	30401	4263
877	30433	4228
878	30465	4193
879	30494	4158
880	30527	4123
881	30561	4088
882	30593	4053
883	30629	4019
884	30658	3983
885	30691	3948
886	30724	3914
887	30759	3879
888	30790	3844
889	30822	3809
890	30961	3787
891	31008	3754
892	31040	3719
893	31074	3684
894	31109	3649
895	31142	3614
896	31174	3579
897	31209	3544
898	31243	3510
899	31277	3475
900	31309	3440
901	31344	3405
902	31379	3370
903	31413	3335
904	31444	3300
905	31478	3265
906	31510	3230
907	31547	3196
908	31581	3161
909	31614	3126
910	31642	3091
911	31676	3056
912	31708	3021
913	31739	2986
914	31773	2951
915	31806	2916
916	31841	2882
917	31876	2847
918	31910	2812
919	31947	2778
920	31981	2743
921	32013	2708
922	32048	2673
923	32087	2639
924	32120	2604
925	32154	2569
926	32185	2534
927	32216	2499
928	32252	2464
929	32282	2429
930	32318	2395
931	32349	2360
932	32388	2325
933	32422	2291
934	32455	2256
935	32482	2221
936	32516	2186
937	32550	2151
938	32582	2116
939	32619	2082
940	32652	2047
941	32684	2012
942	32716	1977
943	32749	1942
944	32781	1907
945	32812	1873
946	32848	1838
947	32881	1803
948	32917	1769
949	32948	1734
950	32984	1699
951	33024	1665
952	33055	1630
953	33086	1595
954	33120	1560
955	33153	1525
956	33184	1491
957	33217	1456
958	33256	1421
959	33288	1387
960	33319	1352
961	33349	1317
962	33385	1282
963	33415	1247
964	33450	1213
965	33482	1178
966	33516	1143
967	33550	1109
968	33584	1074
969	33619	1039
970	33651	1005
971	33683	970
972	33717	935
973	33752	900
974	33784	866
975	33818	831
976	33854	796
977	33889	762
978	33922	727
979	33952	692
980	33985	658
981	34021	623
982	34055	588
983	34088	554
984	34120	519
985	34152	484
986	34187	450
987	34217	415
988	34251	380
989	34283	346
990	34313	311
991	34345	276
992	34378	242
993	34413	207
994	34450	173
995	34481	138
996	34517	103
997	34547	69
998	34581	34
999	34614	0
